Groups:

Data:
time unit: ps, TCK, TMS, TDI_jtag, TDO_jtag, trigger, state_led1, 
0, X, X, X, X, X, X, 
5986517, 1, 1, 0, 1, 0, 1, 
5999850, 1, 1, 0, 1, 0, 1, 
6013183, 1, 1, 0, 1, 0, 1, 
6026516, 1, 1, 0, 1, 0, 1, 
6039849, 1, 1, 0, 1, 0, 1, 
6053182, 1, 1, 0, 1, 0, 1, 
6066515, 1, 1, 0, 1, 0, 1, 
6079848, 1, 1, 0, 1, 0, 1, 
6093181, 1, 1, 0, 1, 0, 1, 
6106514, 1, 1, 0, 1, 0, 1, 
6119847, 1, 1, 0, 1, 0, 1, 
6133180, 1, 1, 0, 1, 0, 1, 
6146513, 1, 1, 0, 1, 0, 1, 
6159846, 1, 1, 0, 1, 0, 1, 
6173179, 1, 1, 0, 1, 0, 1, 
6186512, 1, 1, 0, 1, 0, 1, 
6199845, 1, 1, 0, 1, 0, 1, 
6213178, 1, 1, 0, 1, 0, 1, 
6226511, 1, 1, 0, 1, 0, 1, 
6239844, 1, 1, 0, 1, 0, 1, 
6253177, 1, 1, 0, 1, 0, 1, 
6266510, 1, 1, 0, 1, 0, 1, 
6279843, 1, 1, 0, 1, 0, 1, 
6293176, 1, 1, 0, 1, 0, 1, 
6306509, 1, 1, 0, 1, 0, 1, 
6319842, 1, 1, 0, 1, 0, 1, 
6333175, 1, 1, 0, 1, 0, 1, 
6346508, 1, 1, 0, 1, 0, 1, 
6359841, 1, 1, 0, 1, 0, 1, 
6373174, 1, 1, 0, 1, 0, 1, 
6386507, 1, 1, 0, 1, 0, 1, 
6399840, 1, 1, 0, 1, 0, 1, 
6413173, 1, 1, 0, 1, 0, 1, 
6426506, 1, 1, 0, 1, 0, 1, 
6439839, 1, 1, 0, 1, 0, 1, 
6453172, 1, 1, 0, 1, 0, 1, 
6466505, 1, 1, 0, 1, 0, 1, 
6479838, 1, 1, 0, 1, 0, 1, 
6493171, 1, 1, 0, 1, 0, 1, 
6506504, 1, 1, 0, 1, 0, 1, 
6519837, 1, 1, 0, 1, 0, 1, 
6533170, 1, 1, 0, 1, 0, 1, 
6546503, 1, 1, 0, 1, 0, 1, 
6559836, 1, 1, 0, 1, 0, 1, 
6573169, 1, 1, 0, 1, 0, 1, 
6586502, 1, 1, 0, 1, 0, 1, 
6599835, 1, 1, 0, 1, 0, 1, 
6613168, 1, 1, 0, 1, 0, 1, 
6626501, 1, 1, 0, 1, 0, 1, 
6639834, 1, 1, 0, 1, 0, 1, 
6653167, 1, 1, 0, 1, 0, 1, 
6666500, 1, 1, 0, 1, 0, 1, 
6679833, 1, 1, 0, 1, 0, 1, 
6693166, 1, 1, 0, 1, 0, 1, 
6706499, 1, 1, 0, 1, 0, 1, 
6719832, 1, 1, 0, 1, 0, 1, 
6733165, 1, 1, 0, 1, 0, 1, 
6746498, 1, 1, 0, 1, 0, 1, 
6759831, 1, 1, 0, 1, 0, 1, 
6773164, 1, 1, 0, 1, 0, 1, 
6786497, 1, 1, 0, 1, 0, 1, 
6799830, 1, 1, 0, 1, 1, 1, 
6813163, 1, 1, 0, 1, 1, 1, 
6826496, 0, 1, 0, 1, 1, 0, 
6839829, 0, 1, 0, 0, 1, 0, 
6853162, 0, 1, 0, 0, 1, 0, 
6866495, 0, 1, 0, 0, 1, 0, 
6879828, 0, 1, 0, 0, 1, 0, 
6893161, 0, 1, 0, 1, 1, 0, 
6906494, 0, 1, 0, 1, 1, 0, 
6919827, 0, 1, 0, 1, 1, 0, 
6933160, 0, 1, 0, 1, 1, 0, 
6946493, 0, 1, 0, 1, 1, 0, 
6959826, 0, 1, 0, 1, 1, 0, 
